Segment,Plant,Product,Quantity,Risk Level,Segement,Code,UOM,Status,Classification,Level 1,Level 2,Level 3,Scrapping Status,Scrapping Month,Value in EGP,Date
,EGB1,Saksdc El King 10` Can Tray 24^33cl TE,1,Low,FG,184894,PC,Not Booked,Breakage,Write_off_Warehouse,Warehouse_losses_incl_FEFO_violation," WHS.Breakage, rejection at warehouse ",Done,22-Feb,2224.8,
,EGLE,Valdons Rose Sparkling NRB 12^75cl,7,Low,FG,94559,PC,Not Booked,Wine Freshness ,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.InCo: Corporate brands freshness requirements ,Done,22-Mar,2120.46,
,EGB3,Fasdikad Pine PET Shrink 6^97cl SE1 TE,1,Low,FG,184444,PC,Not Booked,Quality issue ,Write_off_Production ,Production_own_products, PRODUCTION.Microbiology (quality of Teer) incl returns from customers,Done,22-Apr,2098.4,
,EGLE,Phshshas Red BIB 10L,5,Low,FG,4987,PC,Not Booked,quality Issue,Write_off_Production ,Production_Suppliers," PRODUCTION.Rejected suppliers' materials, incl. test materials ",Done,22-Jan,1996,
,EGLV,"ID DBL EDGE Watermelon 15` NRB 12^27,5cl",1,Low,FG,184589,Pc,Not Booked,Transportation losses ,Write_off_Transport,InCo_transportation,TR-T.Breakage in Inco transportation,Done,22-May,1813.05,
,EGB1,Biresss Can Tray 24^33cl TE,44,Low,FG,4949,PC,Not Booked,Breakage,Write_off_Warehouse,Warehouse_losses_incl_FEFO_violation," WHS.Breakage, rejection at warehouse ",Done,22-Feb,1713.6,
,EGLE,JUST WINE Shiraz Red NRB 12^75cl,13,Low,FG,551845,PC,Not Booked,Wine Freshness ,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.InCo: Corporate brands freshness requirements ,Done,22-Mar,1689.83,
,EGLA,Saksdc El King 10` Can Tray 24^50cl TE,2,Low,FG,8974,PC,Not Booked,Breakage,Write_off_Warehouse,Warehouse_losses_incl_FEFO_violation," WHS.Breakage, rejection at warehouse ",Done,22-Jan,1663.13,
,EGLE,CGM Red NRB 12^75cl,1,Low,FG,4979,PC,Not Booked,Wine Freshness ,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.InCo: Corporate brands freshness requirements ,Done,22-Mar,1698.66,
,EGLA,Saksdc El King 10` Can Tray 24^50cl TE,1,Low,FG,8974,Pc,Not Booked,Transportation losses ,Write_off_Transport,InCo_transportation,TR-T.Breakage in Inco transportation,Done,22-May,1598.04,
,EGLE,OasnKHAYYAM White NRB 12^75cl,7,Low,FG,4977,PC,Not Booked,Wine Freshness ,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.InCo: Corporate brands freshness requirements ,Done,22-Mar,1577.78,
,EGLR,Fasdikad Pine Can Tray 24^33cl TE,2,Low,FG,90074,PC,Not Booked,Breakage,Write_off_Warehouse,Warehouse_losses_incl_FEFO_violation," WHS.Breakage, rejection at warehouse ",Done,22-Mar,1551.36,
,EGB1,Saksdc El King 10` Can Tray 24^33cl TE,6,Low,FG,184894,PC,Not Booked,Breakage,Write_off_Warehouse,Warehouse_losses_incl_FEFO_violation," WHS.Breakage, rejection at warehouse ",Done,22-Jan,1483.2,
,EGLA,MEsacod Ma^ Can Tray 24^50cl TE,1,Low,FG,89189,Pc,Not Booked,Transportation losses ,Write_off_Transport,InCo_transportation,TR-T.Breakage in Inco transportation,Done,22-May,1323.63,
,EGLV,"Bascajh Gin Lemon Mint 20` NRB 12^27,5cl",1,Low,FG,180898,Pc,Not Booked,Transportation losses ,Write_off_Transport,InCo_transportation,TR-T.Breakage in Inco transportation,Done,22-May,1981.68,
,EGB1,MEsacod Ma^ NRB Cses 24^33cl TE,11,Low,FG,8944,Pc,Not Booked,Transportation losses ,Write_off_Transport,InCo_transportation,TR-T.Breakage in Inco transportation,Done,22-May,1281.6,
,EGLR,Fasdikad Pine Can Tray 24^33cl TE,7,Low,FG,90074,Pc,Not Booked,Transportation losses ,Write_off_Transport,InCo_transportation,TR-T.Breakage in Inco transportation,Done,22-May,1255.68,
,EGLU,Brella RB Crate 24^50cl TE,11,Low,FG,8948,PC,Not Booked,Breakage,Write_off_Warehouse,Warehouse_losses_incl_FEFO_violation," WHS.Breakage, rejection at warehouse ",Done,22-Feb,1251.6,
,EGLE,Oblws Red NRB 12^75cl,29,Low,FG,4974,PC,Not Booked,Wine Freshness ,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.InCo: Corporate brands freshness requirements ,Done,22-Mar,1236.9,
,EGLR,Biresss Can Tray 24^33cl TE,13,Low,FG,4949,PC,Not Booked,Breakage,Write_off_Warehouse,Warehouse_losses_incl_FEFO_violation," WHS.Breakage, rejection at warehouse ",Done,22-Feb,1185.36,
,EGB1,Saksdc El King 15` Can Tray 24^50cl TE,2,Low,FG,55494,PC,Not Booked,Breakage,Write_off_Warehouse,Warehouse_losses_incl_FEFO_violation," WHS.Breakage, rejection at warehouse ",Done,22-Apr,1166.4,
,EGB1,MEsacod Ma^ Can Tray 24^50cl TE,9,Low,FG,89189,PC,Not Booked,Breakage,Write_off_Warehouse,Warehouse_losses_incl_FEFO_violation," WHS.Breakage, rejection at warehouse ",Done,22-Feb,1127.28,
,EGB1,Saksdc El King 10` Can Tray 24^50cl TE,14,Low,FG,8974,Pc,Not Booked,Transportation losses ,Write_off_Transport,InCo_transportation,TR-T.Breakage in Inco transportation,Done,22-May,1118.4,
,EGLV,GIANACLIS 1882 NRB 12^75cl,40,Low,FG,59494,Pc,Not Booked,Transportation losses ,Write_off_Transport,InCo_transportation,TR-T.Breakage in Inco transportation,Done,22-May,1112.28,
,EGLE,Chadsad DE GRANVILLE Red NRB 6^75cl,13,Low,FG,45947,PC,Not Booked,Wine Freshness ,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.InCo: Corporate brands freshness requirements ,Done,22-Mar,1108.95,
,EGB1,MEsacod Can Tray 24^50cl SN,16,Low,FG,89185,Pc,Not Booked,Transportation losses ,Write_off_Transport,InCo_transportation,TR-T.Breakage in Inco transportation,Done,22-May,1097.28,
,EGLR,Biresss Can Tray 24^33cl TE,4.998,Low,FG,4949,PC,Not Booked,Breakage,Write_off_Warehouse,Warehouse_losses_incl_FEFO_violation," WHS.Breakage, rejection at warehouse ",Done,22-Mar,1077.6,
,EGLR,"Biresss NRB Cses 24^27,5cl TE",12,Low,FG,184494,Pc,Not Booked,Transportation losses ,Write_off_Transport,InCo_transportation,TR-T.Breakage in Inco transportation,Done,22-May,1052.51,
,EGLA,Brella Can Tray 24^50cl TE,1,Low,FG,89718,Pc,Not Booked,Transportation losses ,Write_off_Transport,InCo_transportation,TR-T.Breakage in Inco transportation,Done,22-May,1052.48,
,EGLE,OasnKHAYYAM Rose NRB 12^75cl,0.996,Low,FG,4978,PC,Not Booked,Wine Freshness ,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.InCo: Corporate brands freshness requirements ,Done,22-Mar,1046.93,
,EGLA,Saksdc El King 10` Can Tray 24^50cl TE,0.996,Low,FG,8974,PC,Not Booked,Breakage,Write_off_Warehouse,Warehouse_losses_incl_FEFO_violation," WHS.Breakage, rejection at warehouse ",Done,22-Mar,1033,
,EGLE,Phshshas White BIB 10L,4,Low,FG,49818,PC,Not Booked,Quality issue ,Write_off_Production ,Production_Suppliers," PRODUCTION.Rejected suppliers' materials, incl. test materials ",Done,22-Mar,1023,
,EGLU,Brella RB Crate 24^50cl TE,29,Low,FG,8948,Pc,Not Booked,Transportation losses ,Write_off_Transport,InCo_transportation,TR-T.Breakage in Inco transportation,Done,22-May,1010.88,
,EGLU,Brella RB Crate 24^50cl TE,4,Low,FG,8948,PC,Not Booked,Breakage,Write_off_Warehouse,Warehouse_losses_incl_FEFO_violation," WHS.Breakage, rejection at warehouse ",Done,22-Mar,1001.28,
,EGLA,Heaicadn Can Tray 24^33cl TE,3,Low,FG,8980,Pc,Not Booked,Transportation losses ,Write_off_Transport,InCo_transportation,TR-T.Breakage in Inco transportation,Done,22-May,983.92,
,EGLE,Chadsad DE GRANVILLE White NRB 6^75cl,4.992,Low,FG,451875,PC,Not Booked,Wine Freshness ,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.InCo: Corporate brands freshness requirements ,Done,22-Mar,975.88,
,EGLR,Biresss Can Tray 24^33cl TE,1,Low,FG,4949,PC,Not Booked,Breakage,Write_off_Warehouse,Warehouse_losses_incl_FEFO_violation," WHS.Breakage, rejection at warehouse ",Done,22-Apr,969.84,
,EGB1,Heaicadn NRB Cses 24^33cl TE,1,Low,FG,18477,Pc,Not Booked,Transportation losses ,Write_off_Transport,InCo_transportation,TR-T.Breakage in Inco transportation,Done,22-May,944.64,
,EGB1,Saksdc Gold NRB Cses 24^50cl TE,2,Low,FG,8945,PC,Not Booked,Breakage,Write_off_Warehouse,Warehouse_losses_incl_FEFO_violation," WHS.Breakage, rejection at warehouse ",Done,22-Mar,863.52,
,EGB1,Brella NRB Cses 24^50cl TE,1,Low,FG,89184,Pc,Not Booked,Transportation losses ,Write_off_Transport,InCo_transportation,TR-T.Breakage in Inco transportation,Done,22-May,821.52,
,EGB1,MEsacod Ma^ Can Tray 24^50cl TE,2,Low,FG,89189,PC,Not Booked,Breakage,Write_off_Warehouse,Warehouse_losses_incl_FEFO_violation," WHS.Breakage, rejection at warehouse ",Done,22-Mar,819.84,
,EGLK,Biresss Can Tray 24^33cl TE,3,Low,FG,4949,Pc,Not Booked,Transportation losses ,Write_off_Transport,InCo_transportation,TR-T.Breakage in Inco transportation,Done,22-May,809.76,
,EGLR,Biresss Can Tray 24^33cl TE,19,Low,FG,4949,Pc,Not Booked,Transportation losses ,Write_off_Transport,InCo_transportation,TR-T.Breakage in Inco transportation,Done,22-May,809.76,
,EGLE,"CAPE BAY Chardonnay NRB 48^18,7cl",5,Low,FG,50949,PC,Not Booked,Wine Freshness ,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.InCo: Corporate brands freshness requirements ,Done,22-Mar,799.84,
,EGLE,"OasnKHAYYAM Red NRB 48^18,7cl",1,Low,FG,50944,PC,Not Booked,Wine Freshness ,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.InCo: Corporate brands freshness requirements ,Done,22-Mar,770.4,
,EGLF,OasnKHAYYAM White NRB 12^75cl,4,Low,FG,4977,Pc,Not Booked,Transportation losses ,Write_off_Transport,InCo_transportation,TR-T.Breakage in Inco transportation,Done,22-May,763.65,
,EGLA,Brella RB Crate 24^50cl TE,28.004,Low,FG,8948,Pc,Not Booked,Transportation losses ,Write_off_Transport,InCo_transportation,TR-T.Breakage in Inco transportation,Done,22-May,758.16,
,EGB1,LU^OR ^^^ Can Tray 24^50cl TE,31,Low,FG,49818,Pc,Not Booked,Transportation losses ,Write_off_Transport,InCo_transportation,TR-T.Breakage in Inco transportation,Done,22-May,754.92,
,EGLA,Chadsad DE GRANVILLE Red NRB 6^75cl,27.808,Low,FG,45947,PC,Not Booked,Wine Freshness ,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.InCo: Corporate brands freshness requirements ,Done,22-Mar,739.6,
,EGLA,Saksdc El King 15` Can Tray 24^50cl TE,10,Low,FG,55494,Pc,Not Booked,Transportation losses ,Write_off_Transport,InCo_transportation,TR-T.Breakage in Inco transportation,Done,22-May,732.16,
,EGLU,Brella RB Crate 24^50cl TE,1,Low,FG,8948,PC,Not Booked,Breakage,Write_off_Warehouse,Warehouse_losses_incl_FEFO_violation," WHS.Breakage, rejection at warehouse ",Done,22-Jan,798.8,
,EGLU,Brella Can Tray 24^50cl TE,2,Low,FG,89718,PC,Not Booked,Breakage,Write_off_Warehouse,Warehouse_losses_incl_FEFO_violation," WHS.Breakage, rejection at warehouse ",Done,22-Mar,727.26,
,EGB1,Saksdc El King 15` Can Tray 24^50cl TE,17,Low,FG,55494,PC,Not Booked,Breakage,Write_off_Warehouse,Warehouse_losses_incl_FEFO_violation," WHS.Breakage, rejection at warehouse ",Done,22-Jan,699.84,
,EGLR,Ameasnb Zero Radler Can Tray 24^33cl TE,2,Low,FG,508418,PC,Not Booked,Breakage,Write_off_Warehouse,Warehouse_losses_incl_FEFO_violation," WHS.Breakage, rejection at warehouse ",Done,22-Feb,699.84,
,EGLE,VIN DE MESSE ABARKA NRB 12^75cl,21,Low,FG,4970,PC,Not Booked,Wine Freshness ,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.InCo: Corporate brands freshness requirements ,Done,22-Mar,666.82,
,EGLA,CGM Red NRB 12^75cl,24,Low,FG,4979,PC,Not Booked,Wine Freshness ,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.InCo: Corporate brands freshness requirements ,Done,22-Feb,654.36,
,EGLR,Fasdikad Pineapple Can Tray 24^25cl TE,26,Low,FG,59890,PC,Not Booked,Breakage,Write_off_Warehouse,Warehouse_losses_incl_FEFO_violation," WHS.Breakage, rejection at warehouse ",Done,22-Feb,640.08,
,EGB1,Brella Can Tray 24^50cl TE,10,Low,FG,89718,PC,Not Booked,Breakage,Write_off_Warehouse,Warehouse_losses_incl_FEFO_violation," WHS.Breakage, rejection at warehouse ",Done,22-Feb,633.36,
,EGB4,LBL Front CAPE BAY Chardonnay 750ml 2020,22,Low,Pack,89049585,Pc,Not Booked,Delisted,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.Expired date. Other,Pending,22-Dec,698,
,EGLA,Deasis Can Tray 24^33cl TE,18,Low,FG,184489,Pc,Not Booked,Transportation losses ,Write_off_Transport,InCo_transportation,TR-T.Breakage in Inco transportation,Done,22-May,627.6,
,EGLB,Saksdc Gold Can Tray 24^50cl TE,100,Low,FG,8970,Case,Not Booked,Expired,,,,Pending,22-Jun,626.09,
,EGLL,Fasdikad Coffee Can Tray 12^25cl TE,18,Low,FG,180594,Pc,Not Booked,Transportation losses ,Write_off_Transport,InCo_transportation,TR-T.Breakage in Inco transportation,Done,22-May,610.77,
,EGLA,Chadsad DE GRANVILLE White NRB 6^75cl,17,Low,FG,451875,PC,Not Booked,Wine Freshness ,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.InCo: Corporate brands freshness requirements ,Done,22-Mar,601.28,
,EGLU,Heaicadn NRB Cses 24^33cl TE,42,Low,FG,18477,Pc,Not Booked,Transportation losses ,Write_off_Transport,InCo_transportation,TR-T.Breakage in Inco transportation,Done,22-May,598.52,
,EGB1,Heaicadn NRB Cses 24^33cl TE,15,Low,FG,18477,PC,Not Booked,Breakage,Write_off_Warehouse,Warehouse_losses_incl_FEFO_violation," WHS.Breakage, rejection at warehouse ",Done,22-Feb,590.4,
,EGLU,Heaicadn NRB Cses 24^33cl TE,2,Low,FG,18477,PC,Not Booked,Breakage,Write_off_Warehouse,Warehouse_losses_incl_FEFO_violation," WHS.Breakage, rejection at warehouse ",Done,22-Feb,539.07,
,EGB1,MEsacod Ma^ NRB Cses 24^33cl TE,1,Low,FG,8944,PC,Not Booked,Breakage,Write_off_Warehouse,Warehouse_losses_incl_FEFO_violation," WHS.Breakage, rejection at warehouse ",Done,22-Mar,534,
,EGLA,Saksdc El King 15` NRB Cses 24^50cl TE,37,Low,FG,55544,PC,Not Booked,Breakage,Write_off_Warehouse,Warehouse_losses_incl_FEFO_violation," WHS.Breakage, rejection at warehouse ",Done,22-Mar,525,
,EGLA,CAPE BAY Chardonnay Oaky NRB 12^75cl,10,Low,FG,59450,PC,Not Booked,Wine Freshness ,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.InCo: Corporate brands freshness requirements ,Done,22-Apr,518.21,
,EGLU,Chadsad DE GRANVILLE Red NRB 6^75cl,8,Low,FG,45947,PC,Not Booked,Wine Freshness ,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.InCo: Corporate brands freshness requirements ,Done,22-Mar,517.72,
,EGB1,MEsacod Ma^ Can Tray 24^50cl TE,3,Low,FG,89189,PC,Not Booked,Breakage,Write_off_Warehouse,Warehouse_losses_incl_FEFO_violation," WHS.Breakage, rejection at warehouse ",Done,22-Jan,512.4,
,EGLE,Phshshas Rose BIB 10L,2,Low,FG,4988,PC,Not Booked,Quality issue ,Write_off_Production ,Production_Suppliers," PRODUCTION.Rejected suppliers' materials, incl. test materials ",Done,22-Apr,511.5,
,EGLA,Saksdc Gold Can Tray 24^50cl TE,2,Low,FG,8970,Pc,Not Booked,Transportation losses ,Write_off_Transport,InCo_transportation,TR-T.Breakage in Inco transportation,Done,22-May,496.44,
,EGB1,Saksdc Gold NRB Cses 24^50cl TE,27,Low,FG,8945,PC,Not Booked,Breakage,Write_off_Warehouse,Warehouse_losses_incl_FEFO_violation," WHS.Breakage, rejection at warehouse ",Done,22-Feb,493.44,
,EGB1,Saksdc Gold NRB Cses 24^50cl TE,50,Low,FG,8945,PC,Not Booked,Breakage,Write_off_Warehouse,Warehouse_losses_incl_FEFO_violation," WHS.Breakage, rejection at warehouse ",Done,22-Apr,493.44,
,EGB1,Biresss Can Tray 24^33cl TE,6,Low,FG,4949,PC,Not Booked,Breakage,Write_off_Warehouse,Warehouse_losses_incl_FEFO_violation," WHS.Breakage, rejection at warehouse ",Done,22-Mar,489.6,
,EGLE,OasnKHAYYAM Red NRB 12^75cl,9,Low,FG,49718,PC,Not Booked,Wine Freshness ,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.InCo: Corporate brands freshness requirements ,Done,22-Mar,479.41,
,EGLV,DEVLIN Whisky 40` NRB 6^75cl,15,Low,FG,54557,Pc,Not Booked,Transportation losses ,Write_off_Transport,InCo_transportation,TR-T.Breakage in Inco transportation,Done,22-May,473.84,
,EGB1,Brella NRB Cses 24^50cl TE,19,Low,FG,89184,PC,Not Booked,Breakage,Write_off_Warehouse,Warehouse_losses_incl_FEFO_violation," WHS.Breakage, rejection at warehouse ",Done,22-Mar,469.44,
,EGLA,Saksdc El King 15` Can Tray 24^50cl TE,13,Low,FG,55494,PC,Not Booked,Breakage,Write_off_Warehouse,Warehouse_losses_incl_FEFO_violation," WHS.Breakage, rejection at warehouse ",Done,22-Jan,466.84,
,EGLU,Chadsad DE GRANVILLE White NRB 6^75cl,1,Low,FG,451875,PC,Not Booked,Wine Freshness ,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.InCo: Corporate brands freshness requirements ,Done,22-Mar,450.96,
,EGLU,Chadsad DE GRANVILLE Red NRB 6^75cl,1,Low,FG,45947,PC,Not Booked,Wine Freshness ,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.InCo: Corporate brands freshness requirements ,Done,22-Feb,443.76,
,EGLA,Heaicadn Can Tray 24^50cl TE,8,Low,FG,8989,Pc,Not Booked,Transportation losses ,Write_off_Transport,InCo_transportation,TR-T.Breakage in Inco transportation,Done,22-May,432.32,
,EGB1,Saksdc El King 10` NRB Cses 24^50cl TE,8,Low,FG,184475,Pc,Not Booked,Transportation losses ,Write_off_Transport,InCo_transportation,TR-T.Breakage in Inco transportation,Done,22-May,498.56,
,EGLA,Saksdc El King 15` NRB Cses 24^50cl TE,15,Low,FG,55544,PC,Not Booked,Breakage,Write_off_Warehouse,Warehouse_losses_incl_FEFO_violation," WHS.Breakage, rejection at warehouse ",Done,22-Apr,498.5,
,EGLA,Brella NRB Cses 24^50cl TE,240,Low,FG,89184,Pc,Not Booked,Transportation losses ,Write_off_Transport,InCo_transportation,TR-T.Breakage in Inco transportation,Done,22-May,427.35,
,EGLA,MEsacod Ma^ NRB Cses 24^33cl TE,216,Low,FG,8944,Pc,Not Booked,Transportation losses ,Write_off_Transport,InCo_transportation,TR-T.Breakage in Inco transportation,Done,22-May,422,
,EGLU,Heaicadn Can Tray 24^50cl TE,7,Low,FG,8989,Pc,Not Booked,Transportation losses ,Write_off_Transport,InCo_transportation,TR-T.Breakage in Inco transportation,Done,22-May,418.81,
,EGLT,Fasdikad Pine Can Tray 24^33cl TE,1,Low,FG,90074,Pc,Not Booked,Transportation losses ,Write_off_Transport,InCo_transportation,TR-T.Breakage in Inco transportation,Done,22-May,418.56,
,EGLA,Heaicadn Can Tray 24^33cl TE,96,Low,FG,8980,PC,Not Booked,Breakage,Write_off_Warehouse,Warehouse_losses_incl_FEFO_violation," WHS.Breakage, rejection at warehouse ",Done,22-Mar,417.48,
,EGLA,CASTELLO DI TREVI Red NRB 6^75cl,41,Low,FG,559418,PC,Not Booked,Wine Freshness ,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.InCo: Corporate brands freshness requirements ,Done,22-Mar,416.34,
,EGB1,MEsacod Ma^ Can Tray 24^50cl TE,28,Low,FG,89189,Pc,Not Booked,Transportation losses ,Write_off_Transport,InCo_transportation,TR-T.Breakage in Inco transportation,Done,22-May,409.92,
,EGLA,Brella Can Tray 24^50cl TE,24,Low,FG,89718,PC,Not Booked,Breakage,Write_off_Warehouse,Warehouse_losses_incl_FEFO_violation," WHS.Breakage, rejection at warehouse ",Done,22-Feb,406,
,EGLU,Brella NRB Cses 24^50cl TE,28,Low,FG,89184,PC,Not Booked,Breakage,Write_off_Warehouse,Warehouse_losses_incl_FEFO_violation," WHS.Breakage, rejection at warehouse ",Done,22-Feb,405.72,
,EGLV,"ID DBL EDGE Energy 10` NRB 12^27,5cl",72,Low,FG,9948,Pc,Not Booked,Transportation losses ,Write_off_Transport,InCo_transportation,TR-T.Breakage in Inco transportation,Done,22-May,391.3,
,EGLA,CASPAR White Viognier NRB 6^75cl,1,High,FG,49188,Case,Booked,FG-Expiry,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.Delisting ,Pending,22-Jun,385.86,
,EGLE,Saksdc Gold Can Tray 24^50cl TE,17,Low,FG,8970,PC,Not Booked,Breakage,Write_off_Warehouse,Warehouse_losses_incl_FEFO_violation," WHS.Breakage, rejection at warehouse ",Done,22-Apr,382.2,
,EGLU,Saksdc El King 15` Can Tray 24^50cl TE,21.008,Low,FG,55494,Pc,Not Booked,Transportation losses ,Write_off_Transport,InCo_transportation,TR-T.Breakage in Inco transportation,Done,22-May,377.52,
,EGLA,Chadsad DE GRANVILLE White NRB 6^75cl,72,Low,FG,451875,PC,Not Booked,Wine Freshness ,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.InCo: Corporate brands freshness requirements ,Done,22-Jan,375.8,
,EGLU,Heaicadn Can Tray 24^50cl TE,21,Low,FG,8989,PC,Not Booked,Breakage,Write_off_Warehouse,Warehouse_losses_incl_FEFO_violation," WHS.Breakage, rejection at warehouse ",Done,22-Feb,375.48,
,EGLU,Chadsad DE GRANVILLE Red NRB 6^75cl,48,Low,FG,45947,PC,Not Booked,Wine Freshness ,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.InCo: Corporate brands freshness requirements ,Done,22-Jan,369.8,
,EGLA,Brella Can Tray 24^50cl TE,72,Low,FG,89718,PC,Not Booked,Breakage,Write_off_Warehouse,Warehouse_losses_incl_FEFO_violation," WHS.Breakage, rejection at warehouse ",Done,22-Jan,365.4,
,EGLV,"CUBANA Rum Peach 10` NRB 12^27,5cl",18,Low,FG,555180,Pc,Not Booked,Transportation losses ,Write_off_Transport,InCo_transportation,TR-T.Breakage in Inco transportation,Done,22-May,364.8,
,EGLA,CASPAR White Viognier NRB 6^75cl,20,Low,FG,49188,PC,Not Booked,Wine Freshness ,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.InCo: Corporate brands freshness requirements ,Done,22-Feb,360.1,
,EGLU,Brella Can Tray 24^50cl TE,16,Low,FG,89718,PC,Not Booked,Breakage,Write_off_Warehouse,Warehouse_losses_incl_FEFO_violation," WHS.Breakage, rejection at warehouse ",Done,22-Feb,358.36,
,EGLV,"CUBANA Rum Coconut 15` NRB 12^27,5cl",2,Low,FG,59944,Pc,Not Booked,Transportation losses ,Write_off_Transport,InCo_transportation,TR-T.Breakage in Inco transportation,Done,22-May,356.99,
,EGLA,Heaicadn NRB Cses 24^33cl TE,12,Low,FG,18477,PC,Not Booked,Breakage,Write_off_Warehouse,Warehouse_losses_incl_FEFO_violation," WHS.Breakage, rejection at warehouse ",Done,22-Mar,353.72,
,EGLA,Valdons Rose Sparkling NRB 12^75cl,15,Low,FG,94559,PC,Not Booked,Wine Freshness ,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.InCo: Corporate brands freshness requirements ,Done,22-Feb,352.98,
,EGLU,Brella NRB Cses 24^50cl TE,15,Low,FG,89184,PC,Not Booked,Breakage,Write_off_Warehouse,Warehouse_losses_incl_FEFO_violation," WHS.Breakage, rejection at warehouse ",Done,22-Mar,349.37,
,EGLA,MEsacod Ma^ Can Tray 24^50cl TE,14,Low,FG,89189,PC,Not Booked,Breakage,Write_off_Warehouse,Warehouse_losses_incl_FEFO_violation," WHS.Breakage, rejection at warehouse ",Done,22-Jan,343.98,
,EGLU,MEsacod Ma^ Can Tray 24^50cl TE,4.004,Low,FG,89189,PC,Not Booked,Breakage,Write_off_Warehouse,Warehouse_losses_incl_FEFO_violation," WHS.Breakage, rejection at warehouse ",Done,22-Feb,343.98,
,EGLA,"Bascajh Gin Lemon Mint 20` NRB 12^27,5cl",10,Low,FG,180898,PC,Not Booked,Transportation losses ,Write_off_Transport,InCo_transportation,TR-T.Breakage in Inco transportation,Done,22-Feb,343.89,
,EGLV,Bajse Wsky Highl Red 40` PET 12^75cl,19,Low,FG,418899,Pc,Not Booked,Transportation losses ,Write_off_Transport,InCo_transportation,TR-T.Breakage in Inco transportation,Done,22-May,339.96,
,EGLA,BLUE 40 Vasj  40` NRB 6^1L,19,Low,FG,184489,Pc,Not Booked,Transportation losses ,Write_off_Transport,InCo_transportation,TR-T.Breakage in Inco transportation,Done,22-May,334.16,
,EGLF,Saksdc Gold Can Tray 24^50cl TE,10,Low,FG,8970,PC,Not Booked,Breakage,Write_off_Warehouse,Warehouse_losses_incl_FEFO_violation," WHS.Breakage, rejection at warehouse ",Done,22-Apr,327.6,
,EGLA,Brella NRB Cses 24^50cl TE,12,Low,FG,89184,PC,Not Booked,Breakage,Write_off_Warehouse,Warehouse_losses_incl_FEFO_violation," WHS.Breakage, rejection at warehouse ",Done,22-Feb,326.83,
,EGLE,CGM White NRB 12^75cl,9,Low,FG,4974,PC,Not Booked,Wine Freshness ,Write_off_Expired_date,Expired_date_Sales_Marketing_Supply_Chain,MARKETING/SALES/SCH.InCo: Corporate brands freshness requirements ,Done,22-Feb,320.28,
,EGLF,Saksdc Gold Can Tray 24^50cl TE,36.167,Low,FG,8970,Pc,Not Booked,Transportation losses ,Write_off_Transport,InCo_transportation,TR-T.Breakage in Inco transportation,Done,22-May,317.17,
,EGLU,Heaicadn NRB Cses 24^33cl TE,203.83,Low,FG,18477,PC,Not Booked,Breakage,Write_off_Warehouse,Warehouse_losses_incl_FEFO_violation," WHS.Breakage, rejection at warehouse ",Done,22-Mar,317.1,
